,WK WU WD ST SD LD,Recall
"Walking
W.Upstairs
W.Downstairs
Sitting
Standing
LayingDown","492 1 3 0 0 0
18 451 2 0 0 0
4 6 410 0 0 0
0 2 0 432 57 0
0 0 0 14 518 0
0 0 0 0 0 537","99%
96%
98%
88%
97%
100%"
Precision,96% 98% 99% 97% 90% 100%,96%
