No.,Static,Time(sec),No.,Dynamic,Time(sec)
"0
1
2
3
4
5
6","Start(StandingPos)
Stand(1)
Sit(1)
Stand(2)
LayDown(1)
Sit(2)
LayDown(2)","0
15
15
15
15
15
15","7
8
9
10
11
12
13
14
15","Walk(1)
Walk(2)
WalkDownstairs(1)
WalkUpstairs(2)
WalkDownstairs(1)
WalkUpstairs(2)
WalkDownstairs(3)
WalkUpstairs(3)
Stop","15
15
12
12
12
12
12
12
0"
,,,,Total,192
